Job Title,State,Annual Salary,Monthly Pay,Weekly Pay,Hourly Wage
Data Scientist,New York,"136,172","11,347","2,618",65
Data Scientist,Vermont,"133,828","11,152","2,573",64
Data Scientist,California,"131,441","10,953","2,527",63
Data Scientist,Maine,"127,644","10,637","2,454",61
Data Scientist,Idaho,"126,275","10,522","2,428",61
Data Scientist,Washington,"125,289","10,440","2,409",60
Data Scientist,Pennsylvania,"124,713","10,392","2,398",60
Data Scientist,Massachusetts,"123,188","10,265","2,369",59
Data Scientist,Alaska,"122,407","10,200","2,353",59
Data Scientist,New Jersey,"121,955","10,162","2,345",59
Data Scientist,New Hampshire,"121,666","10,138","2,339",58
Data Scientist,Oregon,"121,011","10,084","2,327",58
Data Scientist,North Dakota,"120,890","10,074","2,324",58
Data Scientist,Wisconsin,"120,117","10,009","2,309",58
Data Scientist,Wyoming,"119,040","9,920","2,289",57
Data Scientist,Hawaii,"118,595","9,882","2,280",57
Data Scientist,Colorado,"117,956","9,829","2,268",57
Data Scientist,Indiana,"116,954","9,746","2,249",56
Data Scientist,Nevada,"115,741","9,645","2,225",56
Data Scientist,New Mexico,"115,421","9,618","2,219",55
Data Scientist,Minnesota,"115,258","9,604","2,216",55
Data Scientist,Arizona,"114,536","9,544","2,202",55
Data Scientist,South Dakota,"114,254","9,521","2,197",55
Data Scientist,Montana,"112,811","9,400","2,169",54
Data Scientist,Ohio,"112,255","9,354","2,158",54
Data Scientist,Rhode Island,"112,085","9,340","2,155",54
Data Scientist,Delaware,"111,877","9,323","2,151",54
Data Scientist,Alabama,"111,402","9,283","2,142",54
Data Scientist,Virginia,"110,662","9,221","2,128",53
Data Scientist,Connecticut,"109,897","9,158","2,113",53
Data Scientist,Iowa,"109,690","9,140","2,109",53
Data Scientist,Illinois,"108,858","9,071","2,093",52
Data Scientist,Mississippi,"108,712","9,059","2,090",52
Data Scientist,Maryland,"108,449","9,037","2,085",52
Data Scientist,Tennessee,"107,174","8,931","2,061",52
Data Scientist,Utah,"106,899","8,908","2,055",51
Data Scientist,Nebraska,"106,424","8,868","2,046",51
Data Scientist,Missouri,"105,000","8,750","2,019",50
Data Scientist,South Carolina,"103,937","8,661","1,998",50
Data Scientist,Georgia,"103,779","8,648","1,995",50
Data Scientist,Oklahoma,"103,063","8,588","1,981",50
Data Scientist,Texas,"102,927","8,577","1,979",49
Data Scientist,Kansas,"102,344","8,528","1,968",49
Data Scientist,North Carolina,"101,792","8,482","1,957",49
Data Scientist,Louisiana,"100,631","8,385","1,935",48
Data Scientist,Kentucky,"97,776","8,148","1,880",47
Data Scientist,Michigan,"97,737","8,144","1,879",47
Data Scientist,West Virginia,"96,317","8,026","1,852",46
Data Scientist,Arkansas,"92,891","7,740","1,786",45
Data Scientist,Florida,"91,843","7,653","1,766",44
Big Data Engineer,Washington,"153,093","12,757","2,944",74
Big Data Engineer,Delaware,"143,398","11,949","2,757",69
Big Data Engineer,Virginia,"140,931","11,744","2,710",68
Big Data Engineer,Maryland,"138,779","11,564","2,668",67
Big Data Engineer,New York,"138,605","11,550","2,665",67
Big Data Engineer,Vermont,"135,746","11,312","2,610",65
Big Data Engineer,Nebraska,"135,535","11,294","2,606",65
Big Data Engineer,Oklahoma,"131,256","10,938","2,524",63
Big Data Engineer,California,"131,050","10,920","2,520",63
Big Data Engineer,Massachusetts,"129,448","10,787","2,489",62
Big Data Engineer,Alaska,"128,300","10,691","2,467",62
Big Data Engineer,Maine,"127,654","10,637","2,454",61
Big Data Engineer,Pennsylvania,"126,958","10,579","2,441",61
Big Data Engineer,Oregon,"126,544","10,545","2,433",61
Big Data Engineer,North Dakota,"126,491","10,540","2,432",61
Big Data Engineer,Idaho,"125,614","10,467","2,415",60
Big Data Engineer,New Jersey,"125,538","10,461","2,414",60
Big Data Engineer,Texas,"124,995","10,416","2,403",60
Big Data Engineer,Colorado,"124,178","10,348","2,388",60
Big Data Engineer,Hawaii,"124,128","10,344","2,387",60
Big Data Engineer,Wisconsin,"124,019","10,334","2,384",60
Big Data Engineer,New Hampshire,"123,642","10,303","2,377",59
Big Data Engineer,Wyoming,"121,359","10,113","2,333",58
Big Data Engineer,Nevada,"121,313","10,109","2,332",58
Big Data Engineer,South Dakota,"119,548","9,962","2,299",57
Big Data Engineer,Indiana,"119,517","9,959","2,298",57
Big Data Engineer,Minnesota,"119,435","9,952","2,296",57
Big Data Engineer,New Mexico,"119,138","9,928","2,291",57
Big Data Engineer,Rhode Island,"117,210","9,767","2,254",56
